doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-returns-refund-policy,data/k4_ecommerce/shopee-returns-refund-policy.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-08-03,not-stated,public-help-center
shopee-shipping-policy,data/k4_ecommerce/shopee-shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250-CH%C3%8DNH-S%C3%81CH-V%E1%BA%ACN-CHUY%E1%BB%82N-SHOPEE,2026-08-03,not-stated,public-help-center
shopee-freeship-conditions,data/k4_ecommerce/shopee-freeship-conditions.md,Điều kiện để sử dụng mã miễn phí vận chuyển,https://help.shopee.vn/portal/4/article/79606,2026-08-03,not-stated,public-help-center
shopee-seller-listing-policy,data/k4_ecommerce/shopee-seller-listing-policy.md,Quy định về đăng bán sản phẩm trên Shopee,https://help.shopee.vn/portal/4/article/77246,2026-08-03,published-2024-08-14,public-help-center
shopee-prohibited-products-policy,data/k4_ecommerce/shopee-prohibited-products-policy.md,Chính sách cấm và hạn chế sản phẩm,https://help.shopee.vn/portal/4/article/77247,2026-08-03,not-stated,public-help-center
